nursery,園芸店
or best offer,応交渉
exponentially,急激に
syndicate,配信する
tidy,片づける
intricate,複雑な
intriguing,興味をそそる
uphold,支持する
rapport,人間関係
sewer,下水道
inadvertently,うっかりして
rope off,ロープで仕切る
hectic,慌ただしい
skyrocket,急上昇する
streamline,無駄を省く
compare favorably with,引けを取らない
probation,見習い期間
sleek,つやのある
novice,初心者
abridged,要約された
hereby,これによって
versatile,何をでも良く
relinquish,放棄する
avid,熱心である
bestow on,授ける
distinctive,特徴的な
discriminating,目が利く
pertain to,に関係がある
proficiency in,における熟達
sanction,認可
unveil,公開する
directory,名簿
advocate,主張者
overhaul,徹底的に整備する
acclaimed,高く評価された
forthcoming,間近に迫った
incur,招く
commensurate with,と等しい
discretion,判断
fabulous,とても素晴らしい
on back order,取り寄せ中で
adjourn,延期する
at length,詳細に
set forth,を示す
testimonial,証拠
query,質問
breathtakingly,息をのむほどに
lift,解く
