stunning,驚くほど美しい
verification,確認
postmark,消印を押す
acknoeledgement,受け取り通知書
certified,資格を持った
halt,中止する
proven,証明された
as of,現在で
prescription,処方箋
informative,有益な
culinary,料理の
appetizer,前菜
mortgage,住宅ローン
comply with,に応じる
intermission,休憩時間
persist,辛抱強くし続ける
execute,実行する
surgical,外科の
prevalent,普及して
renowned,有名な
definitely,確実に
in the vicinity of,の近くに
circulation,発行部数
corespondence,文書
exceptional,非常に優れた
on behalf of,を代表して
solicit,求める
clerical,事務の
given,考えると
dispense,与える
revenue,収益
sculptor,彫刻家
auditorium,講堂
conscientious,良心的な
step down as,の地位を降りる
faculty,教授陣
let 人 go,人を解雇する
