aging,古くなってきた
publicity,評判
shut off,止める
inaugural,最初の
in line for,を得る見込みがある
trim,形を整える
typo,誤植
lure,引きつける
substantial,かなりの
implications,影響
at the forefront of,の最前線に
distinguished,際立って優れた
medical practitioner,開業医
outgrow,より大きくなる
outpace,より速いペースで進む
scenic,景色の良い
prosperous,繁栄している
commend,褒める
carrier,航空会社
to capacity,満員で
exterior,外部
coincide with,と同時に起こる
noteworthy,注目すべき
net,正味の
in accordance with,に従って
compensate,報酬を支払う
superb,素晴らしい
municipal,市の
bio,経歴
proofread,校正する
attain,達成する
mount,取り付ける
duplication,複写
stagnant,停滞した
